School_ID,Name_of_School,Elementary_Middle_High_School,Students_Passing_Algebra,X10_Grade_Plan_2009,X10_Grade_Plan_2010,Graduation_Rate
609966,Charles G Hammond Elementary School,ES,,,,
610539,Marvin Camras Elementary School,ES,,,,
609852,Eliza Chappell Elementary School,ES,63.6,,,
609835,Daniel R Cameron Elementary School,ES,,,,
610521,Sir Miles Davis Magnet Elementary Academy,ES,,,,
609818,Luther Burbank Elementary School,ES,,,,
610298,Lenart Elementary Regional Gifted Center,ES,70,,,
610200,James N Thorp Elementary School,ES,,,,
609680,Walter Payton College Preparatory High School,HS,,23.1,23.2,96.9
610056,Roswell B Mason Elementary School,ES,,,,
609848,Ira F Aldridge Elementary School,ES,,,,
610038,Abraham Lincoln Elementary School,ES,54.5,,,
610123,William Penn Elementary School,ES,,,,
609863,Christopher Columbus Elementary School,ES,,,,
610226,Socorro Sandoval Elementary School,ES,,,,
609722,Manley Career Academy High School,HS,,13.3,13,49
610308,Wilma Rudolph Elementary Learning Center,ES,,,,
609749,Northside College Preparatory High School,HS,,24.5,24.7,97.6
609958,Frank W Gunsaulus Elementary Scholastic Academy,ES,100,,,
610121,Washington Irving Elementary School,ES,,,,
610352,Durkin Park Elementary School,ES,,,,
609856,Henry Clay Elementary School,ES,,,,
609919,John Fiske Elementary School,ES,,,,
609938,Joseph E Gary Elementary School,ES,,,,
610212,Albany Park Multicultural Academy,MS,50,,,
610239,Richard J Daley Elementary Academy,ES,,,,
610523,Edison Park Elementary School,ES,,,,
610047,James Madison Elementary School,ES,,,,
610244,Michele Clark Academic Prep Magnet High School,HS,,14.4,14.5,87.4
610013,Pilsen Elementary Community Academy,ES,,,,
610394,Uplift Community High School,HS,,14.9,14.7,62.4
610243,John Calhoun North Elementary School,ES,,,,
610285,Granville T Woods Math & Science Academy Elementary School,ES,,,,
609799,Alexander Graham Bell Elementary School,ES,65.6,,,
610257,Morton School of Excellence,ES,,,,
609725,Morgan Park High School,HS,64.1,15.6,15.9,80
610381,Bronzeville Scholastic Academy High School,HS,,15.3,15.7,85.3
610251,Willa Cather Elementary School,ES,,,,
609698,William J Bogan High School,HS,,14.3,14.3,52.5
609712,Emil G Hirsch Metropolitan High School,HS,,12.9,12.4,36.2
610178,Theophilus Schmid Elementary School,ES,,,,
609853,Salmon P Chase Elementary School,ES,,,,
609773,Louis A Agassiz Elementary School,ES,,,,
610143,William C Reavis Math & Science Specialty Elementary School,ES,,,,
610057,Fairfield Elementary Academy,ES,,,,
609854,Frederic Chopin Elementary School,ES,,,,
609961,Ninos Heroes Elementary Academic Center,ES,,,,
610062,George B McClellan Elementary School,ES,,,,
610501,Austin Polytechnical Academy High School,HS,,13.6,13.1,
610105,Oriole Park Elementary School,ES,53.3,,,
609837,Andrew Carnegie Elementary School,ES,8.3,,,
610054,John L Marsh Elementary School,ES,,,,
610225,John Whistler Elementary School,ES,,,,
610280,Kate S Buckingham Special Education Center,ES,,,,
610392,World Language Academy High School,HS,,14.6,14.1,69.4
609777,Phillip D Armour Elementary School,ES,,,,
609941,Asa Philip Randolph Elementary School,ES,,,,
610060,Andrew Jackson Elementary Language Academy,ES,80,,,
609772,Jane Addams Elementary School,ES,,,,
610385,Multicultural Academy of Scholarship,HS,,14.4,14.1,58
610087,Blair Early Childhood Center,ES,,,,
609808,Alex Haley Elementary Academy,ES,,,,
609779,George Armstrong International Studies Elementary School,ES,60.9,,,
610535,Mason High School,HS,,,13.9,
609896,Thomas Drummond Elementary School,ES,,,,
610198,Douglas Taylor Elementary School,ES,,,,
609862,Edward Coles Elementary Language Academy,ES,,,,
610117,Louis Pasteur Elementary School,ES,,,,
609756,Marie Sklodowska Curie Metropolitan High School,HS,,15.6,15.1,76.1
609739,George Washington High School,HS,,14.3,14.1,71.6
609994,William G Hibbard Elementary School,ES,,,,
610391,Robert Lindblom Math & Science Academy High School,HS,78.2,19.1,19,68.9
609917,Fernwood Elementary School,ES,,,,
610232,Williams Multiplex Elementary School,ES,,,,
610305,George Leland Elementary School,ES,,,,
610316,Amelia Earhart Options for Knowledge Elementary School,ES,,,,
610367,Oscar DePriest Elementary School,ES,,,,
609764,Benito Juarez Community Academy High School,HS,,14.6,14.5,56.2
610004,Countee Cullen Elementary School,ES,,,,
610026,John H Kinzie Elementary School,ES,63.6,,,
609997,Oliver Wendell Holmes Elementary School,ES,,,,
610368,Langston Hughes Elementary School,ES,,,,
610319,Evergreen Academy Middle School,MS,43.2,,,
609713,Hyde Park Academy High School,HS,,14.4,14.1,51.1
609723,John Marshall Metropolitan High School,HS,,13.4,13.2,36.8
610291,Richard Henry Lee Elementary School,ES,,,,
